Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
Location 1,-111.252,33.296,2303,2/27/20,0,39.7,50.2,60.7
Location 1,-111.252,33.296,2303,2/28/20,0,39.6,54.6,69.6
Location 1,-111.252,33.296,2303,2/29/20,0,47.2,59.7,72.3
Location 1,-111.252,33.296,2303,3/1/20,0,46.7,60.4,74.1
Location 1,-111.252,33.296,2303,3/2/20,0,47.1,58,68.9
Location 1,-111.252,33.296,2303,3/3/20,0,44.7,55.1,65.5
Location 1,-111.252,33.296,2303,3/4/20,0,45.7,57.5,69.2
Location 1,-111.252,33.296,2303,3/5/20,0,45,58,71
Location 1,-111.252,33.296,2303,3/6/20,0,47.3,62.3,77.3
Location 1,-111.252,33.296,2303,3/7/20,0,56.7,67.4,78.1
Location 1,-111.252,33.296,2303,3/8/20,0,54.5,66.8,79.2
Location 1,-111.252,33.296,2303,3/9/20,0,50.6,59.4,68.2
Location 1,-111.252,33.296,2303,3/10/20,0.03,48.8,60.9,73
Location 1,-111.252,33.296,2303,3/11/20,0.45,57.9,63.5,69.1
Location 1,-111.252,33.296,2303,3/12/20,0.24,59.1,63.8,68.5
Location 1,-111.252,33.296,2303,3/13/20,0.52,51.9,59.3,66.7
Location 1,-111.252,33.296,2303,3/14/20,0.03,47.2,55.2,63.2
Location 1,-111.252,33.296,2303,3/15/20,0,47.2,58.2,69.2
Location 1,-111.252,33.296,2303,3/16/20,0,49.7,61.3,72.9
Location 1,-111.252,33.296,2303,3/17/20,0,49.3,62.2,75.2
Location 1,-111.252,33.296,2303,3/18/20,0,51.6,62.3,73
Location 1,-111.252,33.296,2303,3/19/20,1.11,47.4,54.6,61.9
Location 1,-111.252,33.296,2303,3/20/20,0.17,44.2,52.3,60.4
Location 1,-111.252,33.296,2303,3/21/20,0,43.9,55.6,67.3
Location 1,-111.252,33.296,2303,3/22/20,0,47.9,59.5,71
Location 1,-111.252,33.296,2303,3/23/20,0,48.8,59.6,70.4
Location 1,-111.252,33.296,2303,3/24/20,0,49.8,60.9,71.9
Location 1,-111.252,33.296,2303,3/25/20,0,48.3,61.1,74
Location 1,-111.252,33.296,2303,3/26/20,0,48.7,62.5,76.2
Location 1,-111.252,33.296,2303,3/27/20,0,50.7,58.1,65.5
Location 1,-111.252,33.296,2303,3/28/20,0,41.2,49.6,58
Location 1,-111.252,33.296,2303,3/29/20,0,40.1,53.2,66.3
Location 1,-111.252,33.296,2303,3/30/20,0,46.1,59.3,72.5
Location 1,-111.252,33.296,2303,3/31/20,0,45.4,59.4,73.3
Location 1,-111.252,33.296,2303,4/1/20,0,48.9,62.9,76.9
Location 1,-111.252,33.296,2303,4/2/20,0,54.7,67.6,80.4
Location 1,-111.252,33.296,2303,4/3/20,0,52.4,66,79.7
Location 1,-111.252,33.296,2303,4/4/20,0,51.3,65.4,79.6
Location 1,-111.252,33.296,2303,4/5/20,0,52.1,65.8,79.5
Location 1,-111.252,33.296,2303,4/6/20,0,51.7,66,80.2
Location 1,-111.252,33.296,2303,4/7/20,0,51.1,65.3,79.5
Location 1,-111.252,33.296,2303,4/8/20,0,51.3,65.5,79.7
Location 1,-111.252,33.296,2303,4/9/20,0,50.7,65.6,80.5
Location 1,-111.252,33.296,2303,4/10/20,0,46.7,58.7,70.7
Location 1,-111.252,33.296,2303,4/11/20,0,46.8,61,75.3
Location 1,-111.252,33.296,2303,4/12/20,0,49.1,57.4,65.8
Location 1,-111.252,33.296,2303,4/13/20,0,48.1,59.7,71.2
Location 1,-111.252,33.296,2303,4/14/20,0,51.1,61.9,72.7
Location 1,-111.252,33.296,2303,4/15/20,0,49,62,75
Location 1,-111.252,33.296,2303,4/16/20,0,48.2,63,77.8
Location 1,-111.252,33.296,2303,4/17/20,0,49.9,65.6,81.3
Location 1,-111.252,33.296,2303,4/18/20,0,51.9,67,82.2
Location 1,-111.252,33.296,2303,4/19/20,0,51.8,63.8,75.8
Location 1,-111.252,33.296,2303,4/20/20,0,51.8,65.2,78.6
Location 1,-111.252,33.296,2303,4/21/20,0,55.5,68.9,82.4
Location 1,-111.252,33.296,2303,4/22/20,0,55.8,67.9,80
Location 1,-111.252,33.296,2303,4/23/20,0,55,69.8,84.6
Location 1,-111.252,33.296,2303,4/24/20,0,59,74.4,89.8
Location 1,-111.252,33.296,2303,4/25/20,0,61.2,76.9,92.6
Location 1,-111.252,33.296,2303,4/26/20,0,62.2,78.3,94.3
Location 1,-111.252,33.296,2303,4/27/20,0,63.3,80.1,96.9
Location 1,-111.252,33.296,2303,4/28/20,0,65.2,80.4,95.7
Location 1,-111.252,33.296,2303,4/29/20,0,63.4,79.7,96
Location 1,-111.252,33.296,2303,4/30/20,0,66.2,82.8,99.5
Location 1,-111.252,33.296,2303,5/1/20,0,65.9,81.7,97.4
Location 1,-111.252,33.296,2303,5/2/20,0,64.9,80.9,96.9
Location 1,-111.252,33.296,2303,5/3/20,0,64.3,79.5,94.7
Location 1,-111.252,33.296,2303,5/4/20,0,62.8,77.5,92.2
Location 1,-111.252,33.296,2303,5/5/20,0,62.4,78,93.5
Location 1,-111.252,33.296,2303,5/6/20,0,66,82.1,98.1
Location 1,-111.252,33.296,2303,5/7/20,0,66.1,83.7,101.4
Location 1,-111.252,33.296,2303,5/8/20,0,67.1,83.5,99.8
Location 1,-111.252,33.296,2303,5/9/20,0,68.5,82.5,96.4
Location 1,-111.252,33.296,2303,5/10/20,0,71.8,83.9,95.9
Location 1,-111.252,33.296,2303,5/11/20,0,70.8,82.3,93.7
Location 1,-111.252,33.296,2303,5/12/20,0,68,81,93.9
Location 1,-111.252,33.296,2303,5/13/20,0,64.8,77.4,90
Location 1,-111.252,33.296,2303,5/14/20,0,62.3,74.7,87.2
Location 1,-111.252,33.296,2303,5/15/20,0,61.4,73.8,86.2
Location 1,-111.252,33.296,2303,5/16/20,0,62.6,75.9,89.3
Location 1,-111.252,33.296,2303,5/17/20,0,64.7,79.1,93.5
Location 1,-111.252,33.296,2303,5/18/20,0,65.3,80.7,96.1
Location 1,-111.252,33.296,2303,5/19/20,0,64.9,80.4,95.8
Location 1,-111.252,33.296,2303,5/20/20,0,57.1,73.3,89.6
Location 1,-111.252,33.296,2303,5/21/20,0,55.1,68.8,82.6
Location 1,-111.252,33.296,2303,5/22/20,0,56.5,71.9,87.3
Location 1,-111.252,33.296,2303,5/23/20,0,60.6,75.8,90.9
Location 1,-111.252,33.296,2303,5/24/20,0,63,76.2,89.3
Location 1,-111.252,33.296,2303,5/25/20,0,63.1,75.9,88.6
Location 1,-111.252,33.296,2303,5/26/20,0,63.7,77.9,92.1
Location 1,-111.252,33.296,2303,5/27/20,0,66,81.8,97.7
Location 1,-111.252,33.296,2303,5/28/20,0,68.4,85.2,101.9
Location 1,-111.252,33.296,2303,5/29/20,0,72.6,88.5,104.4
Location 1,-111.252,33.296,2303,5/30/20,0,74.6,90.6,106.5
Location 1,-111.252,33.296,2303,5/31/20,0.04,76.3,90.5,104.8
Location 1,-111.252,33.296,2303,6/1/20,0,73.6,88.5,103.3
Location 1,-111.252,33.296,2303,6/2/20,0,75.8,88.5,101.1
Location 1,-111.252,33.296,2303,6/3/20,0,74.2,88.9,103.7
Location 1,-111.252,33.296,2303,6/4/20,0,74.8,90.6,106.5
Location 1,-111.252,33.296,2303,6/5/20,0,75.7,91.4,107.2
Location 1,-111.252,33.296,2303,6/6/20,0,67,83,99
Location 1,-111.252,33.296,2303,6/7/20,0,66.5,79.1,91.8
Location 1,-111.252,33.296,2303,6/8/20,0,64.2,78.4,92.7
Location 1,-111.252,33.296,2303,6/9/20,0,61.7,73.9,86.2
Location 1,-111.252,33.296,2303,6/10/20,0,62.1,77.6,93.2
Location 1,-111.252,33.296,2303,6/11/20,0,64.1,82.6,101.2
Location 1,-111.252,33.296,2303,6/12/20,0,68.7,87.1,105.5
Location 1,-111.252,33.296,2303,6/13/20,0,72,89.2,106.3
Location 1,-111.252,33.296,2303,6/14/20,0,68.2,85.5,102.9
Location 1,-111.252,33.296,2303,6/15/20,0,66,83.9,101.7
Location 1,-111.252,33.296,2303,6/16/20,0,70.2,86.7,103.2
Location 1,-111.252,33.296,2303,6/17/20,0,67.2,85.2,103.2
Location 1,-111.252,33.296,2303,6/18/20,0,67.1,83.7,100.3
Location 1,-111.252,33.296,2303,6/19/20,0,66.2,82.9,99.6
Location 1,-111.252,33.296,2303,6/20/20,0,65.2,82.1,98.9
Location 1,-111.252,33.296,2303,6/21/20,0,66.6,84.6,102.6
Location 1,-111.252,33.296,2303,6/22/20,0,69.8,86.8,103.8
Location 1,-111.252,33.296,2303,6/23/20,0,70.4,87.2,103.9
Location 1,-111.252,33.296,2303,6/24/20,0,70.2,87.4,104.7
Location 1,-111.252,33.296,2303,6/25/20,0,70.2,88.4,106.5
Location 1,-111.252,33.296,2303,6/26/20,0,71.3,88.9,106.5
Location 1,-111.252,33.296,2303,6/27/20,0,73.4,89.9,106.3
Location 1,-111.252,33.296,2303,6/28/20,0,75,88.3,101.6
Location 1,-111.252,33.296,2303,6/29/20,0,73.4,86.6,99.9
Location 1,-111.252,33.296,2303,6/30/20,0,69.3,83.9,98.5
Location 1,-111.252,33.296,2303,7/1/20,0,67.8,79.4,91.1
Location 1,-111.252,33.296,2303,7/2/20,0,67.7,84,100.4
Location 1,-111.252,33.296,2303,7/3/20,0,70.9,85.3,99.7
Location 1,-111.252,33.296,2303,7/4/20,0,75.4,89.7,104
Location 1,-111.252,33.296,2303,7/5/20,0,75.7,90.6,105.5
Location 1,-111.252,33.296,2303,7/6/20,0,75.4,91.1,106.7
Location 1,-111.252,33.296,2303,7/7/20,0,75.6,91.5,107.5
Location 1,-111.252,33.296,2303,7/8/20,0,77,92.2,107.3
Location 1,-111.252,33.296,2303,7/9/20,0,81.5,94,106.5
Location 1,-111.252,33.296,2303,7/10/20,0,80.1,93.2,106.2
Location 1,-111.252,33.296,2303,7/11/20,0,81.1,94.7,108.3
Location 1,-111.252,33.296,2303,7/12/20,0,82.6,96.2,109.9
Location 1,-111.252,33.296,2303,7/13/20,0,83.8,97.7,111.6
Location 1,-111.252,33.296,2303,7/14/20,0,83.7,94.5,105.4
Location 1,-111.252,33.296,2303,7/15/20,0,83.1,94.8,106.6
Location 1,-111.252,33.296,2303,7/16/20,0,78.6,92.3,106
Location 1,-111.252,33.296,2303,7/17/20,0,79.3,92.8,106.2
Location 1,-111.252,33.296,2303,7/18/20,0,81.6,91.8,102
Location 1,-111.252,33.296,2303,7/19/20,0,80.9,93.5,106.1
Location 1,-111.252,33.296,2303,7/20/20,0,81.5,93.1,104.7
Location 1,-111.252,33.296,2303,7/21/20,0,81.6,92.3,102.9
Location 1,-111.252,33.296,2303,7/22/20,0,80.5,91.3,102.2
Location 1,-111.252,33.296,2303,7/23/20,0.05,79.3,91.4,103.4
Location 1,-111.252,33.296,2303,7/24/20,0,77.3,83.8,90.3
Location 1,-111.252,33.296,2303,7/25/20,0.03,74.4,85.5,96.6
Location 1,-111.252,33.296,2303,7/26/20,0,77.4,87.8,98.3
Location 1,-111.252,33.296,2303,7/27/20,0,78.4,91.8,105.2
Location 1,-111.252,33.296,2303,7/28/20,0,81.3,93.4,105.4
Location 1,-111.252,33.296,2303,7/29/20,0,79.3,93.6,107.8
Location 1,-111.252,33.296,2303,7/30/20,0,79.2,93.3,107.5
Location 1,-111.252,33.296,2303,7/31/20,0,81.3,94.9,108.6
Location 1,-111.252,33.296,2303,8/1/20,0,82.5,97.4,112.2
Location 1,-111.252,33.296,2303,8/2/20,0,88.1,96.4,104.8
Location 1,-111.252,33.296,2303,8/3/20,0,83.5,92.9,102.2
Location 1,-111.252,33.296,2303,8/4/20,0,82.4,94.4,106.4
Location 1,-111.252,33.296,2303,8/5/20,0,81.2,92.5,103.8
Location 1,-111.252,33.296,2303,8/6/20,0,79.2,92.2,105.3
Location 1,-111.252,33.296,2303,8/7/20,0,79.1,91.9,104.8
Location 1,-111.252,33.296,2303,8/8/20,0,79.9,91.8,103.7
Location 1,-111.252,33.296,2303,8/9/20,0,80.7,92.8,104.9
Location 1,-111.252,33.296,2303,8/10/20,0,79,92.8,106.7
Location 1,-111.252,33.296,2303,8/11/20,0,79.5,92.6,105.6
Location 1,-111.252,33.296,2303,8/12/20,0,80,92.4,104.8
Location 1,-111.252,33.296,2303,8/13/20,0,82.9,94.1,105.3
Location 1,-111.252,33.296,2303,8/14/20,0,84.4,96.8,109.1
Location 1,-111.252,33.296,2303,8/15/20,0,84,97.4,110.9
Location 1,-111.252,33.296,2303,8/16/20,0,83.6,96.2,108.7
Location 1,-111.252,33.296,2303,8/17/20,0,83.2,95.7,108.3
Location 1,-111.252,33.296,2303,8/18/20,0,82.4,96.3,110.2
Location 1,-111.252,33.296,2303,8/19/20,0,85.8,97.4,109.1
Location 1,-111.252,33.296,2303,8/20/20,0.06,85.6,97.1,108.5
Location 1,-111.252,33.296,2303,8/21/20,0.08,80.1,92,103.9
Location 1,-111.252,33.296,2303,8/22/20,0.01,81.2,89.1,96.9
Location 1,-111.252,33.296,2303,8/23/20,0,80.3,90.5,100.6
Location 1,-111.252,33.296,2303,8/24/20,0,83.5,94.4,105.2
Location 1,-111.252,33.296,2303,8/25/20,0,87.7,99.3,111
Location 1,-111.252,33.296,2303,8/26/20,0,85.6,95.6,105.6
Location 1,-111.252,33.296,2303,8/27/20,0,84.9,97.3,109.7
Location 1,-111.252,33.296,2303,8/28/20,0,82.7,94.9,107
Location 1,-111.252,33.296,2303,8/29/20,0,82.1,94.4,106.7
Location 1,-111.252,33.296,2303,8/30/20,0.37,72.1,85.9,99.7
Location 1,-111.252,33.296,2303,8/31/20,0,72.8,83.4,94
Location 1,-111.252,33.296,2303,9/1/20,0,72.4,83.1,93.8
Location 1,-111.252,33.296,2303,9/2/20,0,78.3,86.2,94.1
Location 1,-111.252,33.296,2303,9/3/20,0,76.9,86.5,96.1
Location 1,-111.252,33.296,2303,9/4/20,0,76.7,89.2,101.6
Location 1,-111.252,33.296,2303,9/5/20,0,79.1,94.7,110.3
Location 1,-111.252,33.296,2303,9/6/20,0,84.4,97.7,111.1
Location 1,-111.252,33.296,2303,9/7/20,0,81.9,94,106.1
Location 1,-111.252,33.296,2303,9/8/20,0,80,91.2,102.3
Location 1,-111.252,33.296,2303,9/9/20,0.08,68.2,80,91.9
Location 1,-111.252,33.296,2303,9/10/20,0,65.5,74.9,84.2
Location 1,-111.252,33.296,2303,9/11/20,0,67.5,77.8,88
Location 1,-111.252,33.296,2303,9/12/20,0,69.2,78.3,87.4
Location 1,-111.252,33.296,2303,9/13/20,0,69.3,81.6,93.8
Location 1,-111.252,33.296,2303,9/14/20,0,76.6,87.5,98.3
Location 1,-111.252,33.296,2303,9/15/20,0,79.2,88.7,98.1
Location 1,-111.252,33.296,2303,9/16/20,0,75.9,87.2,98.6
Location 1,-111.252,33.296,2303,9/17/20,0,75.6,88.9,102.1
Location 1,-111.252,33.296,2303,9/18/20,0,81,91.9,102.8
Location 1,-111.252,33.296,2303,9/19/20,0,80.8,91,101.2
Location 1,-111.252,33.296,2303,9/20/20,0,80,89.5,99
Location 1,-111.252,33.296,2303,9/21/20,0,76,88.5,100.9
Location 1,-111.252,33.296,2303,9/22/20,0,74.6,87,99.4
Location 1,-111.252,33.296,2303,9/23/20,0,74.7,84.6,94.5
Location 1,-111.252,33.296,2303,9/24/20,0,72.3,85,97.7
Location 1,-111.252,33.296,2303,9/25/20,0,73.7,87,100.2
Location 1,-111.252,33.296,2303,9/26/20,0,73.2,86.4,99.6
Location 1,-111.252,33.296,2303,9/27/20,0,71.4,84.6,97.7
Location 1,-111.252,33.296,2303,9/28/20,0,71.5,83.8,96.1
Location 1,-111.252,33.296,2303,9/29/20,0,70.8,84.6,98.3
Location 1,-111.252,33.296,2303,9/30/20,0,74.5,86.4,98.3
Location 1,-111.252,33.296,2303,10/1/20,0,72.3,85.7,99.1
Location 1,-111.252,33.296,2303,10/2/20,0,71.5,86.8,102.1
Location 1,-111.252,33.296,2303,10/3/20,0,71.7,86.8,101.9
Location 1,-111.252,33.296,2303,10/4/20,0,69.3,84.5,99.7
Location 1,-111.252,33.296,2303,10/5/20,0,68.6,84.7,100.8
Location 1,-111.252,33.296,2303,10/6/20,0,69.1,84.6,100
Location 1,-111.252,33.296,2303,10/7/20,0,68.5,83.6,98.8
Location 1,-111.252,33.296,2303,10/8/20,0,68.8,84.5,100.2
Location 1,-111.252,33.296,2303,10/9/20,0,69.3,82.7,96.1
Location 1,-111.252,33.296,2303,10/10/20,0,68.3,81.8,95.2
Location 1,-111.252,33.296,2303,10/11/20,0,65.5,79.3,93.2
Location 1,-111.252,33.296,2303,10/12/20,0,63.8,76.7,89.7
Location 1,-111.252,33.296,2303,10/13/20,0,65.8,80.1,94.5
Location 1,-111.252,33.296,2303,10/14/20,0,67.3,82.9,98.5
Location 1,-111.252,33.296,2303,10/15/20,0,66.3,81.1,95.9
Location 1,-111.252,33.296,2303,10/16/20,0,66,79.9,93.8
Location 1,-111.252,33.296,2303,10/17/20,0,69.8,84.3,98.8
Location 1,-111.252,33.296,2303,10/18/20,0,65.8,79.8,93.8
Location 1,-111.252,33.296,2303,10/19/20,0,64.8,78.4,92.1
Location 1,-111.252,33.296,2303,10/20/20,0,65,78.8,92.6
Location 1,-111.252,33.296,2303,10/21/20,0,65.7,79.1,92.6
Location 1,-111.252,33.296,2303,10/22/20,0,64,79.2,94.4
Location 1,-111.252,33.296,2303,10/23/20,0,65.1,77.3,89.5
Location 1,-111.252,33.296,2303,10/24/20,0,65,77.1,89.2
Location 1,-111.252,33.296,2303,10/25/20,0,65.1,75.1,85.2
Location 1,-111.252,33.296,2303,10/26/20,0,61.4,70.8,80.2
Location 1,-111.252,33.296,2303,10/27/20,0,45.2,54.8,64.4
Location 1,-111.252,33.296,2303,10/28/20,0,43.9,52.4,61
Location 1,-111.252,33.296,2303,10/29/20,0,41.8,54.5,67.1
Location 1,-111.252,33.296,2303,10/30/20,0,56.9,68.2,79.4
Location 1,-111.252,33.296,2303,10/31/20,0,61.3,72.5,83.6
Location 1,-111.252,33.296,2303,11/1/20,0,63.7,75.1,86.6
Location 1,-111.252,33.296,2303,11/2/20,0,71.9,80.6,89.2
Location 1,-111.252,33.296,2303,11/3/20,0,73.3,80.5,87.7
Location 1,-111.252,33.296,2303,11/4/20,0,66.3,78.6,91
Location 1,-111.252,33.296,2303,11/5/20,0,63.4,76.5,89.5
Location 1,-111.252,33.296,2303,11/6/20,0,64.8,78.9,93
Location 1,-111.252,33.296,2303,11/7/20,0,73.7,82.2,90.6
Location 1,-111.252,33.296,2303,11/8/20,0,53,66.3,79.7
Location 1,-111.252,33.296,2303,11/9/20,0.25,46.3,56,65.7
Location 1,-111.252,33.296,2303,11/10/20,0,41.6,48.8,55.9
Location 1,-111.252,33.296,2303,11/11/20,0,41,51.3,61.7
Location 1,-111.252,33.296,2303,11/12/20,0,41.1,54.4,67.7
Location 1,-111.252,33.296,2303,11/13/20,0,46,58.9,71.7
Location 1,-111.252,33.296,2303,11/14/20,0,49.4,61.8,74.2
Location 1,-111.252,33.296,2303,11/15/20,0,47.4,59.8,72.3
Location 1,-111.252,33.296,2303,11/16/20,0,48.7,64.7,80.7
Location 1,-111.252,33.296,2303,11/17/20,0,55.3,71.5,87.6
Location 1,-111.252,33.296,2303,11/18/20,0,65.1,76.8,88.5
Location 1,-111.252,33.296,2303,11/19/20,0,62.9,75.8,88.8
Location 1,-111.252,33.296,2303,11/20/20,0,60.7,72.6,84.4
Location 1,-111.252,33.296,2303,11/21/20,0,61.1,73.1,85.2
Location 1,-111.252,33.296,2303,11/22/20,0,58.7,69.9,81.1
Location 1,-111.252,33.296,2303,11/23/20,0,57.1,69.4,81.6
Location 1,-111.252,33.296,2303,11/24/20,0,52,64.1,76.1
Location 1,-111.252,33.296,2303,11/25/20,0,45.9,56.5,67.1
Location 1,-111.252,33.296,2303,11/26/20,0,44.7,57.2,69.8
Location 1,-111.252,33.296,2303,11/27/20,0,43.6,56.2,68.8
Location 1,-111.252,33.296,2303,11/28/20,0,40,49.9,59.7
Location 1,-111.252,33.296,2303,11/29/20,0,46.3,57.2,68
Location 1,-111.252,33.296,2303,11/30/20,0,45.5,58.3,71
Location 1,-111.252,33.296,2303,12/1/20,0,45.3,56.7,68.1
Location 1,-111.252,33.296,2303,12/2/20,0,40.9,53.8,66.7
Location 1,-111.252,33.296,2303,12/3/20,0,44.4,54.1,63.9
Location 1,-111.252,33.296,2303,12/4/20,0,40.6,51.2,61.8
Location 1,-111.252,33.296,2303,12/5/20,0,35.4,49.6,63.8
Location 1,-111.252,33.296,2303,12/6/20,0,37.5,52.3,67
Location 1,-111.252,33.296,2303,12/7/20,0,39.3,55.3,71.4
Location 1,-111.252,33.296,2303,12/8/20,0,45.8,60.3,74.9
Location 1,-111.252,33.296,2303,12/9/20,0,54.7,65,75.3
Location 1,-111.252,33.296,2303,12/10/20,0.08,53.5,66.6,79.7
Location 1,-111.252,33.296,2303,12/11/20,0.19,45.7,51.9,58.1
Location 1,-111.252,33.296,2303,12/12/20,0,41.8,51.6,61.5
Location 1,-111.252,33.296,2303,12/13/20,0,40.3,52,63.6
Location 1,-111.252,33.296,2303,12/14/20,0,39.1,49,58.9
Location 1,-111.252,33.296,2303,12/15/20,0.01,36.6,48.2,59.8
Location 1,-111.252,33.296,2303,12/16/20,0,35.1,46.9,58.8
Location 1,-111.252,33.296,2303,12/17/20,0,34.8,48.3,61.9
Location 1,-111.252,33.296,2303,12/18/20,0,38.6,52.5,66.3
Location 1,-111.252,33.296,2303,12/19/20,0,37.1,49.2,61.4
Location 1,-111.252,33.296,2303,12/20/20,0,36.3,49.7,63.1
Location 1,-111.252,33.296,2303,12/21/20,0,37.3,53.1,68.8
Location 1,-111.252,33.296,2303,12/22/20,0,42,58.6,75.2
Location 1,-111.252,33.296,2303,12/23/20,0,41.8,56.2,70.6
Location 1,-111.252,33.296,2303,12/24/20,0,39,51.2,63.4
Location 1,-111.252,33.296,2303,12/25/20,0,41.7,49.8,57.9
Location 1,-111.252,33.296,2303,12/26/20,0,44.4,55.9,67.3
Location 1,-111.252,33.296,2303,12/27/20,0,40.3,54.2,68
Location 1,-111.252,33.296,2303,12/28/20,0,42.6,57.2,71.8
Location 1,-111.252,33.296,2303,12/29/20,0.01,46.4,56.9,67.4
Location 1,-111.252,33.296,2303,12/30/20,0,38,47,56
Location 1,-111.252,33.296,2303,12/31/20,0,37.7,48.9,60.1
Location 2,-109.089,33.362,6581,1/1/20,0,25.7,35.2,44.7
Location 2,-109.089,33.362,6581,1/2/20,0,26.7,37,47.3
Location 2,-109.089,33.362,6581,1/3/20,0.04,22,30.6,39.3
Location 2,-109.089,33.362,6581,1/4/20,0,21.3,34.9,48.5
Location 2,-109.089,33.362,6581,1/5/20,0,32.6,44.5,56.4
Location 2,-109.089,33.362,6581,1/6/20,0,32.7,46.4,60
Location 2,-109.089,33.362,6581,1/7/20,0,28.7,40.6,52.5
Location 2,-109.089,33.362,6581,1/8/20,0,29.5,40.8,52.1
Location 2,-109.089,33.362,6581,1/9/20,0,31,41.6,52.3
Location 2,-109.089,33.362,6581,1/10/20,0.02,28.3,35,41.8
Location 2,-109.089,33.362,6581,1/11/20,0,18.2,28,37.7
Location 2,-109.089,33.362,6581,1/12/20,0,19.9,34.2,48.5
Location 2,-109.089,33.362,6581,1/13/20,0,25.6,37.8,49.9
